2013-09-03 02:34:11.905 PM	****** Start Logging ******
2013-09-03 02:34:18.575 PM	doWork	--------Start----------
2013-09-03 02:34:27.151 PM	doWork	--------End------------
2013-09-03 02:38:38.179 PM	doWork	--------Start----------
2013-09-03 02:38:39.194 PM	doWork	--------End------------
2013-09-03 02:38:49.270 PM	doWork	--------Start----------
2013-09-03 02:38:50.285 PM	doWork	--------End------------
2013-09-03 02:40:37.821 PM	doWork	--------Start----------
2013-09-03 02:40:38.836 PM	doWork	--------End------------
2013-09-03 02:41:10.438 PM	doWork	--------Start----------
2013-09-03 02:41:11.453 PM	doWork	--------End------------
2013-09-03 03:06:50.938 PM	doWork	--------Start----------
2013-09-03 03:06:50.954 PM	doWork	--------End------------
2013-09-03 03:40:54.461 PM	doWork	--------Start----------
2013-09-03 03:55:58.946 PM	doWork	--------Start----------
2013-09-03 03:56:34.567 PM	doWork	--------Start----------
2013-09-03 03:57:48.286 PM	doWork	--------Start----------
2013-09-03 03:59:02.968 PM	doWork	--------Start----------
2013-09-03 04:03:27.435 PM	doWork	--------Start----------
2013-09-03 04:04:13.996 PM	doWork	ERROR: 42P01: relation "pricechangdtl" does not exist select * from pricechangehd;select * from pricechangdtl;
2013-09-03 04:04:13.996 PM	doWork	--------End------------
2013-09-03 04:05:01.743 PM	doWork	--------Start----------
2013-09-03 04:05:14.277 PM	doWork	--------Start----------
2013-09-03 04:06:35.458 PM	doWork	
2013-09-03 04:06:35.458 PM	doWork	--------End------------
2013-09-03 04:09:20.419 PM	doWork	--------Start----------
2013-09-03 04:34:04.901 PM	doWork	--------Start----------
2013-09-03 04:35:10.501 PM	doWork	--------Start----------
2013-09-03 04:38:10.635 PM	doWork	--------Start----------
2013-09-03 04:39:52.269 PM	doWork	--------End------------
2013-09-03 04:41:52.152 PM	doWork	--------Start----------
2013-09-03 04:42:25.605 PM	doWork	--------End------------
2013-09-03 04:43:20.420 PM	doWork	--------Start----------
2013-09-03 04:48:39.252 PM	doWork	--------End------------
2013-09-03 04:58:53.282 PM	doWork	--------Start----------
2013-09-03 05:16:14.519 PM	doWork	--------Start----------
2013-09-03 05:21:09.267 PM	doWork	--------End------------
2013-09-03 05:26:02.102 PM	doWork	--------Start----------
2013-09-03 05:31:55.597 PM	doWork	--------Start----------
2013-09-03 05:36:50.566 PM	doWork	--------End------------
2013-09-04 09:48:30.325 AM	doWork	--------Start----------
2013-09-04 09:53:12.227 AM	doWork	--------Start----------
2013-09-04 09:55:24.504 AM	doWork	--------Start----------
2013-09-04 09:59:49.245 AM	doWork	--------End------------
2013-09-04 10:07:02.428 AM	doWork	--------Start----------
2013-09-04 10:17:39.752 AM	doWork	--------End------------
2013-09-04 10:17:53.683 AM	doWork	--------Start----------
2013-09-04 10:18:22.981 AM	doWork	--------Start----------
2013-09-04 10:22:56.098 AM	doWork	--------End------------
